인물,대사
남자들, 어어어어!!
남자들,하.... 
순재,잘 해 잘 좀! 
윤호, 아 씨 나가야 되는데.. 왜 안 자 들.. 
민호,엄마?
해미, 사랑하는 우리 아들~ 공부하고 있어?
민호,어. 엄마 없으니까 집이 텅 빈 거 같애~
윤호,어우...엑... 
해미, 윤호는?
민호,윤호?
민호,윤호는 아까부터 자.. 응 걔가 그렇지 뭐.
준하, 아버지 맥주 드실래요?
순재,갖고와 봐.
순재,너 어디 엠티 왔냐?
준하,에? 
순재,밥을 그렇게 쳐먹고도 그걸 또 다 마신다구?
준하,워낙 위대해서..  위. 대. 하하하하~ 아버지 건배~
문희,애 자냐?
준하,눈이 아직 말똥말똥한데?
문희,내가 업으면 금방 잘텐데..
순재,당신은 가 자. 근데 이게 이게 애 보는게 보통 일이 아니야.
준하,보통 일 아니죠.
문희,으구 나쁜년. 지 자식을 시애비한테 팽개치고 어떻게 잠이 올까?
순재,걔만 욕할 것두 없어~ 두 놈이 똑같애. 아주 똑같은 놈들이야. 나쁜 자식들...
준하,자요?  아버지 제가 안을까요? 
민용, 너 여기서 뭐해?
윤호, 삼촌은 이시간에 왠일이야?
준하,아 목 말러...맥주를 너무 마셨나. 
순재, 놀래라 이 자식아~ 무슨 방구를 폭탄 터지듯이 그렇게 뀌냐?
준하,제 방구소리 첨 들어보세요? 새삼스럽게..  오늘은 좀 심하네... 
윤호,삼촌 나 먼저 나갈게.
민용,뭔 일인진 모르지만 들키지 말고 잘 해.
윤호,삼촌도 들키지 말고 잘 해.
신지,왜 이렇게 안 나와...
신지, 준아!
신지,준아~ 엄마야~  어머 그새 더 컸어~
민용,아버지 금방 깨셔. 딱 5분만이다. 
문희,쯧쯧..  자나..  준아?
순재, 어 어.. 
문희,준이 어디갔수?!
순재,응? 여기 안고 있잖.. 
순재,이게 뭐야?!! 
문희, 애 떨어뜨린 거 아냐? 준이야..
준하,왜 그러세요?
순재,니네 방에 준이 있냐?
준하,아니요?
문희,그럼 얘가 어디 갔어!! 당신 애를 어떡한거유 도대체!!!
순재,아이구 준이야 준이야!!
준하, 왜요 왜? 애가 없어졌어?!!! 
민호,아유 애가 여기까지 기어왔을리가 없죠~
순재,그럼 어떻게 된거야? 누가 집에 들어와서 유괴라도 해 간거야?
문희,엄마야 엄마야 어째... 
준하,아버지 윤호가 없는데 데리고 산책 나간거 아닐까요?
순재,윤호가 걔를 왜 데리고 나가?
민호,아빠! 윤호는 오토바이 타러..
준하, 저기 제수씨 아녜요?
준하,진짜 제수씨 맞아요!!!
순재, 저 저!!!
민용, 야야 이제 안되겠다 진짜 빨리 가. 벌써 10분 넘었어..
신지,잠깐만..
순재, 야!!!
신지,엄마야 어떡해!!
민용, 아씨 이럴 줄 알았어!!
순재,에미 너 거기 안 서?!!
신지,엄마 어떡해.. 
민용, 야 어딜 가?!!
순재,저 저 저거 어딜 가는거야? 어딜 가는거지?!
준하,도저히 못 떼놓겠으니까 러시아 데려 갈려고...?
순재,뭐가 어째? 러시아?
문희,세상에 쟤 잡아야 돼~
준하,택시 잡아서 쫓자!
민호, 아싸 딱 걸렸다~  어 저기 보세요! 저거 윤호 아녜요?!
민호, 놀랍다. 고등학생이 오토바이를 타다니 저럴수가~
윤호,어? 뭐야 씨.. 
준하,얌마!
윤호,아 아빠 그게요..
준하,야 키 내놔! 
윤호,에?
준하,어 아버지 제가 갈께..
순재, 저게 어디서.. 죽었어!!
준하,어?  아버지 제가 할게요 위험해요!! 헬멧 쓰시고.. 
준하, 아버지 살살 가세요! 아버지!!
민호,어 뭐야. 이게 아닌데..  할머니 보셨죠? 윤호가 몰래 오토바이를..
문희,준이야 아이구 준이야... 저 불여시 우리 아들 신세 망치더니 손자까지 뺏어가네.. 
민호,어 뭐야.. 이게 아닌데..
윤호, 어라...? 끝장인 줄 알았는데 아무도 관심없네? 아호~ 
민호,아 뭐야 이거.. 아 드럽게 재수 좋은 놈.. 
민용,야 미쳤어? 거기서 도망오면 더 오해받잖아!
신지,그럼 어떡해? 아버님이 나 정말 죽일 거 같은데!
민용,야 그렇다고..! 여기서 가. 난 준이 데리고 내릴테니까.. 
순재,거기 안 서?!!
신지,어떡해~
순재,당장 차 세워라!
민용, 아버지 저두 있어요. 도망가는 거 아녜요!!
준하,어? 쟤두 있어요. 유괴는 아닌가봐요!
순재,빨리 세워!
민용,순순히 보내준다고 약속해야 세울 거 같아요. 지금 겁 먹었어요!
순재,약속 안해! 어디서 상의도 없이 갈라서고 애까지 빼다 가!
신지, 잘못했어요 아버님~
준하,아버지 빨리 약속해요. 이러다 사고 나요!
민용,이 사람 그냥 보내준다 그러세요!
순재,못해! 차 세워!
준하,아버지 제발요. 저 토할 거 같아요!
순재,차 세워!
민용,아버지!
준하,야 일단 세워봐~
준하, 아버지 잠깐만요.
순재,야 안 놔?
민용, 나는 쟤 따라가서 좀 달래서 보낼게. 
준하, 아버지 준이 여기! 자요! 됐죠?
순재,니들 일루와 죽었어! 
준하, 아버지 이러지 마세요. 약속했잖아요!  어 이러다 애 떨어져요~
순재, 하..
준하,이거나 벗겨주세요. 진짜 토할 거 같아요~
순재, 이런 빙신..
준하,아아~
민용,야? 어딜 나가?
신지, 아버님 죄송합니다.
순재, 너!!
준하, 어~~
신지,엄마야! 
순재, 에라이~
준하,어떻게 된거야? 안보여 살려줘~
해미,이제 진짜 진짜 러시아 간거 맞아?
준하,맞대. 어제 민용이가 공항에 가서 만났대.
해미,갈려면 조용히 가지.. 동서 정말 대단해. 나랑 세대차인가.. 난 걔 정말 이해가 안가.
준하,민용이 자식이 더 빙신이지. 이혼하잔다구 덥석 하고 시킨다고 애를 갖다 치고..
해미,진짜 타이밍 절묘했네. 근데 그 오토바이 누구꺼였어?
준하,그거 윤호가..  잠깐. 근데 왜 니가 오토바이를 타고 있었냐?
해미,니가 왜 오토바이를 타? 그것도 밤 12시에?
민호, 대학생 형한테 한달 빌렸다 그랬었나?
민호, 오해마. 일르는게 아니라 물어보시길래~
민호,하하하하하하~ 
순재, 다음 환자 들어오시라 그래.
간호사, 대기 환자 없습니다 원장님.
순재,없음 말고..  한참 시간에 환자가 없으면 어떡해? 아 이런.. 
순재, 아니 환자들이 이렇게 많은데 뭐가 없다는 거야? 얼른 들여보네.
간호사,아 이분들은 다 박원장님 환자들인데요.
순재,아..  그래두 대기시간 너무 기니까 내쪽으로 돌려.
간호사,그럴려고 했는데요. 다들 박원장님한테 받는다고 그러셔서..
순재,아..  그럼 뭐..  할머니 내가 봐드릴테니 빨리 하고 가세요. 기다시기 힘드신데.
할머니,싫유. 난 젊은선생한테 받을꺼유.
순재, 한가하고 좋지 뭐. 
민용, 진작에 다 버릴껄. 속이 다 시원하다~  아자 아자! 난 자유다!
민정,어머 이선생님!
민용,어? 서선생님 여긴..
민정,아 저 오늘 이 동네로 이사왔어요.
민용,아.. 그래요? 저도 이 동네 사는데.
민정,정말요? 와 이제 이웃사촌이네요. 잘 부탁드릴께요.
민용,아 네. 무거우시면 제가 어떻게 들어드려요?
민정,아뇨 괜찮아요. 저 팔 힘 쎄요.
민용,아 팔 힘 세시구나. 그럼 나중에 뵈요. 
민정,에... 
민정,여기에요 들어오세요~
민정,저쪽방으로요~
인부1,가구들이 다 있네요? 누가 사는 집 아녜요?
민정,친구가 유학가면서 다 놓고 갔거든요. 돌아올 때까지 집 관리 겸 싸게 지내는거예요.
인부1,야 아가씨 땡 잡았네.
민정,왕땡 잡았죠 하하~ 어 그거 깨지기 쉬운 거예요 살살..
순재,누구야? 
간호사, 원장님.
순재,어 환자야? 들어오시라 그래~
간호사,아뇨 결재 좀..  물리치료기 구입확인서예요.
순재,환자 아니고?
간호사,네?
순재,줘. 
범,안녕하세요.
순재,어.  어서 앉으세요.. 어디가.. 
범,할아버지 저 범이예요.
순재, 너 왜 왔어?
범,아 저희 할아버지가요. 심심하시면 바둑 두러 오시래요.
순재,심심? 나 지금 진료시간인 거 모르냐? 내가 심심할 새가 어딨어?
범,지금 심심해 보이시는데요?
순재,바빠! 너무 바빠. 이거 서류도 결재해야되고~  니 할배한테 나중에 간다 그래라. 박원장~~
순재,박원장..
여자환자,선생님 잠깐 나가셨는데..
순재,아니 환자분을 기다리시게 하고 어딜..?
순재,어디가 안 좋으세요?
여자환자,예. 소화가 계속 안되고.. 며칠째 더부룩해서요..
순재,아.. 그럼 제가 좀 봐드리죠.. 손 내보세요. 
순재, 음... 사기가 저체되고 기혈이 응체됐군...  허.. 비장이 울결되어 위의 음기가 손상됐어..
여자환자,기체요?
순재,쉽게 말하면 스트레스성 소화불량으로서..
해미,임신이시네요.
여자환자,임신이요?
해미, 초음파 확인했어요. 축하드려요~
여자환자,어머 그건 생각도 못했는데..!
해미,산부인과에 가셔서 자세한 진단 받아보세요.
여자환자,정말 확실한가요? 여기 선생님도 소화불량이라고..
해미,소화불량이요?
해미,아 원래 맥으로는 기체와 임신이 비슷해서 혼동할 수가 있죠. 이거보세요. 애기집이 여기 보이죠?
여자환자,네에..
순재, 이순재 이 빙신아! 이게 무슨 개망신이냐!!
순재, 이순재... 니가 정말 35년 경력의 한의사 맞냐? 비록 명의는 아니었어도 이 정도는 아니었잖아..
순재,아니야. 잠깐 헷갈린거야..
순재, 헷갈린게 아니라 이제 물러날 때가 된거 아니냐? 이러니 니가 환자가 하나도 없는거야. 현실을 인정해 이순재.
준하,아버지 심심하시면 저랑 바둑 한판...
순재, 뭘 인정해!? 인정 못해!!
준하,뭘 인정못해요? 아 어제 바둑 지신거요? 인정하세요. 진건 진거죠.
민정, 다 됐다~  아 더워.. 
민용,야구~  벌써 8회야?
민용, 어 안타!! 그렇지! 2루까지 2루까지~
민용,어!! 뭐야!!  에이씨 빙신들 괜히 봤네... 
민정,아 시원하다..  어 이게 왜 여깄지?
민용,아 참 맥주 남았지..
민정,누구야? 신지니?
문희,니들 삼촌은 학교에서 좀 보냐?
민호,수업시간에요.
문희,꼴이 괜찮든? 아파보이진 않아?
윤호,보기엔 멀쩡해요.
문희, 으이구.. 지 마누라한테 얼마나 시달렸으면 이혼하고도 멀쩡할까?
해미," 윤호, 민호, 늦겠다 그만~"
문희,아유 밥은 다 먹고 가야지.. 얘 좀 늦더라도..
해미, 얼른 가!! 
해미, 아버님. MB20 치료기 2대 계약할까하는데요. 아버님?
순재,응? 
해미,MB20이요. 2대 계약 할까하구요. 그래야 되겠죠?
순재, 1대만 일단 써보지..
해미, 으으음~ 지금 환자수로는 택도 없죠. 2대 게약할께요.
순재, 이거봐 이순재.. 너 말만 원장이지 니 맘대로 하는게 뭐가 있어?
순재,에미야 근데 어제 환자 말이다. 분명히 기체였거든. 내가 임신하고 기체를 구별못하는 게 아니라..
해미, 네에 헷갈리실 수 있죠.
순재, 뭐야 비웃는 거야..?  못난놈. 새파란 며느리한테 자격지심 느끼는 거냐?
순재, 누가!? 누가!? 
문희, 뭐가 누가야? 혼자 뭔 소리하고 간거야?
준하, 어제부터 혼자 중얼중얼하시더라구요. 꼭 사람 있는 거처럼.
문희,옴마나 왜 그러냐? 혹 노망나는거 아냐?
준하,노망이요...?  그럼 아버지가 치매...?
순재, 노망은 누가 노망이 나?
문희,아유 깜짝야~
순재,할망구야 말로 노망났어? 말이면 다하는 줄 알아! 야 그리고 너는 밥 좀 그만 쳐먹어. 아침부터 잔치 벌렸냐?
해미,그래 당신 과하다~
해미,귀 밝고 눈 밝고 소리 쨍쨍하시고~ 저보다 더 오래 사실꺼예요 걱정마세요.
문희,너보다 더 오래 살면 어떡하냐? 아이구 끔찍해.
민정,아 씨 지각하겠네.
민용,누구야? 신지니?
민용, 이상하네 분명히 무슨 소리 들렸는데..
민용,어라. 구두가 어디갔어?
민정, 후 간신히 탔네.  어머..! 
교감, 이선생 왜 벌써 나왔어? 점심도 먹고 나오지. 너무 부지런떨지 마.
민용,죄송합니다..
민정, 이거 아침에 교무회의 때 나눠준거예요.
민용,고맙습니다.
민정,근데 왜 이렇게 늦으셨어요? 버스 타니까 10분밖에 안 걸리던데.
민용,그게요..  하 너무 어이 없어서 말해도 안 믿으실 꺼예요.
민정,뭔데요?
민용,그게... 아니 어떤 미친놈이 현관의 구두만 쏙 훔쳐갔더라구요.
민정,어머 정말요? 황당하다. 저는 누가 현관에 구두를 버려 놓고 갔던데!
민용,네? 아니 어떻게 그런 일이 있죠?
민정,근데 전 요새 더 이상한 일이 있어요.
민용,뭔데요?
민정,말해도 안 믿으실꺼예요.
민용,뭔데요?
민정,집에 저 말고 다른 사람이 있는 거 같아요. 이상한 인기척도 나고..
민용,정말요? 나도 그런데!
민정,진짜요?
민용,분명히 신문을 봤는데 화장실 갔다 나오면 신문이 없구요! 귀신에 홀린건가 싶은게..
민정,어머 어머 저두 그래요! 어머 왠일이니~!!
순재, 인정할 껀 인정하라구 이순재. 솔직히 니가 키워낸 병원도 아니잖아.
준하,아버지 엄마 저 왔어요~
해미,안녕하세요. 
준하,인사하세요 해미씨예요. 제가 말씀드렸죠?
순재,거 인삼차라도 끓이지.
문희,네 인삼차가.. 
순재,얘기 듣기로는 해미양도 한의학 전공한다고..
해미,네.  근데 생각보다 많이 협소 하네요.
순재, 아...
해미, 너무 낡고 어둡고.. 위생에도 좀 문제 있어 보이고.. 약재실이랑 진료실도 분리하는게 좋은데..
순재, 아.. ?
순재,이렇게 막 벌려도 되냐? 난 무섭다 아가..
해미, 아버님 투자 없이 어떻게 수익을 바래요~ 걱정마세요~
순재, 아..?
해미,이순재 여성전문한방병원 멋지죠?
순재,난 여성전문이 아닌데..
해미,제가 여성전문이잖아요 아버님.
순재, 아..?
순재, 며느리 덕에 여기까지 왔으니 말년 복 터진 줄 이나 알아.
순재, 그걸로 만족해 순재야.
순재, 그럼 난 뭐야..? 난 이제 쓸모없는 놈이야..?
민정,같은 동네라 이런게 좋네요. 혼자 오면 심심했는데.
민용,저두요. 근데 집이 여기 근처예요?
민정,여기예요.
민용,어?! 나도 여긴데.
민정,네? 진짜요? 몇호요?
민용,팔백...  어 엄마. 왜?  엄만 몰라도 돼. 아 됐어.
민용,누구야?! 
민정, 뭐야... 
민정, 아 무서워 귀신이야 뭐야..  하!!!
민용,분명히 있어.. 씨...  여보세요?
민정, 이선생님 밤 늦게 죄송한데요. 저희 집에 좀 와 주시면 안돼요?
민용,왜요?
민정,"누가요, 하... 누가 변기에 똥을 싸놨어요!!!"
민용,똥을 싸놔요?!!
민정,똥을 이따만큼...! 어떡해요. 너무 무서워요!
민용,미친놈!!  일단 갈께요. 거기가 몇호예요?
민정,801호요!
민용,어디요? 잘 안 들려요. 크게 말해봐요!
민정, 801호요!
민용,잠깐!  지금 우리집에도 누가 있어요.
민정,네? 어떡해요~
민용,다시 전화할께요. 서선생님도 위험하니까 일단 집에서 나와요. 
민정,네. 
간호사, 원장님 저희 퇴근하겠습니다.
순재,음... 
해미,퇴근하세요 수고했어요.
간호사,수고하셨습니다.
해미,왜들 그래요?
준하,산 내려오다가 발 헛디뎌가지고.. 아씨..
해미,둘 다 다친거에요? 발목 뼜어요? 
친구,예. 둘이 동시에 발 헛 디뎌가지고..  아아..
해미,침부터 놔야겠다. 이쪽으로 오세요. 
순재,뭐야? 쟤 왜 왔어?
간호사,발목 삐셨대요.
해미,당신은 좀만 기다려. 세준씨가 더 심하니까.
순재,뭐 발목을 뼜다면서?
순재,어떻게 뼜어? 어디봐. 
준하, 저 사람이 해줄꺼예요. 아버진 올라가세요.
해미,예 아버님 퇴근하세요. 제가 할께요.
순재,어? 어.. 
준하, 저 사람이 해줄꺼예요. 아버진 올라가세요.
